#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes
,EET-2,7/15/2021,yellow p77,128,130,,,,,GR,moist,,,,thin layer of coarse gravel 28-40 mm
,EET-2,7/15/2021,yellow p77,130,135,,,,fibrous,sandy clay,moist,C/M,"2.5 Y, 5/2",,coarse sand
,EET-2,7/15/2021,yellow p77,135,136,,,,,GR,,,,,"hit rock(s), cannot auger beyond"
,,,,,,,,,,,,,,,
20,LHT-1,7/6/2019,orange p71,0,10,,,O,"peat, fibrous, crumbly",,moist,"F-VF/M, M/C","5 YR, 2.5/1",,"peat, fibrous, crumbly"
,LHT-1,7/6/2019,orange p71,10,31,,,A,,silty clay,moist,"VF/C, F/F","5 YR, 2.5/1",,
,LHT-1,7/6/2019,orange p71,31,48,,,A,,clay,moist,"F/F, F/VF, F/M","5 Y, 2.5/1; mottled red",,fine mottling
,LHT-1,7/6/2019,orange p71,48,54,,,A,,silty clay,saturated,F/F,"7.5 YR, 2.5/2",,
,LHT-1,7/6/2019,orange p71,54,76,,,E,,"clay, FGR, sticky",saturated,F/F,"10 YR, 4/2; mottled orange",,
,LHT-1,7/6/2019,orange p71,76,95,,,,,"sandy clay, FGR, GR, sticky",saturated,F/F,"10 YR, 4/3; red-orange sand",,red-orange sand appeared to be breakdown of gravel
,LHT-1,7/6/2019,orange p71,95,109,,,,,sandy clay,saturated,F/F,"2.5 Y, 3/3; gley, mottled",,mottled color 5Y 4/1 and 5Y 4/N
,LHT-1,7/6/2019,orange p71,109,115,,,,fibrous,"sandy clay, GR",saturated,F/F,"5 Y 4/1, gley 1 N/3",,
,,,,,,,,,,,,,,,
21,LET-1,7/6/2019,orange p73,0,7.5,,,O,crumbly humus,,moist,"M/V-VF, F/M","5 YR, 2.5/1",,
,LET-1,7/6/2019,orange p73,7.5,30,,,,,clay,moist,"C/F-VF, F/M","5 YR, 2.5/1",,
,LET-1,7/6/2019,orange p73,30,48,,,,,silty clay,moist,"F/M, F/F","5 YR, 2.5/1; fine red-orange mottle",,
,LET-1,7/6/2019,orange p73,48,58,,,,bits of charcoal at 58 cm,silty clay,moist,"F/C, F/M, VF/F","5 YR, 2.5/1; fine red-orange mottle",,
,LET-1,7/6/2019,orange p73,58,67,,,,,silty clay,moist,"F/C, F/M, VF/F","5 YR, 2.5/1; fine red-orange mottle",,
,LET-1,7/6/2019,orange p73,67,93,,,,layer of charcoal at 93 cm,silty clay,saturated,"F/C, M/F","7.5 YR, 2.5/1; mottle",,
,LET-1,7/6/2019,orange p73,93,100,,,,,silty clay,saturated,"F/C, M/F","7.5 YR, 2.5/1; mottle",,
,LET-1,7/6/2019,orange p73,100,110,,,,fibrous,silty clay,saturated,"F/C, M/F","7.5 YR, 3/1; bright red-orange mottle",,
,LET-1,7/6/2019,orange p73,110,116,,,,"fibrous, charcoal bits at 116",sandy clay,saturated,"M/F, VF/C","10 YR, 2/2",,
,LET-1,7/6/2019,orange p73,116,120,,,,fibrous,sandy clay,saturated,"M/F, VF/C","10 YR, 2/2",,
,,,,,,,,,,,,,,,
22,LWT-1,7/6/2019,orange p73,0,13,,,O,"earthworm, crumbly humus",,moist,M/VF-F,"5 YR, 2.5/1",,
,LWT-1,7/6/2019,orange p73,13,29,,,,,clay,moist,"C/F-VF, F/M ","5 YR, 2.5/1",,
,LWT-1,7/6/2019,orange p73,29,55,,,,,silty clay,moist,C/F-VF,"2.5 YR, 3/1; fine mottled",,
,LWT-1,7/6/2019,orange p73,55,82,,,,fibrous,clay,saturated,F/F-VF,"5 YR, 3/1; fine red-orange mottle, black streaks",,
,LWT-1,7/6/2019,orange p73,82,100,,,,fibrous,sandy clay,saturated,C/VF-F,"7.5 YR, 2.5/1",,
,LWT-1,7/6/2019,orange p73,100,108,,,,"fibrous, charcoal",sandy clay,saturated,VF/F-M,"10 YR, 2/1",,
,,,,,,,,,,,,,,,
23,B3S,8/12/2019,orange p106,0,6,,,O,fibrous,,dry,"M/VF-M, F/C",,,"soil survey only, 1.5 m downstream of well, no well install"
,B3S,8/12/2019,orange p106,6,12,,,A,HO,clay,dry-moist,"F/M, M/VF-F",,,
,B3S,8/12/2019,orange p106,12,21,,,A,HO,clay,moist,"F/M, M/VF-F",,,
,B3S,8/12/2019,orange p106,21,36,,,A,HO,clay,moist,"C/VF, F/M, F/F",,,
,B3S,8/12/2019,orange p106,36,52,,,,"HO, chunks of dry rhyzomes",clay,saturated,"C/VF, F/M, F/F",,,
,B3S,8/12/2019,orange p106,52,79,,,,"HO, chunks of dry rhyzomes",clay,saturated,"C/VF, F/M, F/F",more organic material than mineral,,
,B3S,8/12/2019,orange p106,79,100,,,,"HO, woody chunks, roots > 2.5 cm",clay,saturated,"C/C, M/VF-M",,,
,B3S,8/12/2019,orange p106,100,112,,,,,"sandy clay, XFGR",saturated,"F/M, C/VF-F",,,
,,,,,,,,,,,,,,,
24,E8S,6/6/2021,yellow p49,0,12,,,O,"HO, peat, grassy",,wet non-satiated,"M/VF-F, F/M, VF/C","10 YR, 2/1",,well replacement
,E8S,6/6/2021,yellow p49,12,25,,,A,HO,clay,wet,"M/VF-F, F/M","5 YR, 2.5/1",,
,E8S,6/6/2021,yellow p49,25,41,,,A,,"clay, FGR",wet,"C/VF-F, F/M","7.5 YR, 2.5/1",,
,E8S,6/6/2021,yellow p49,41,55,,,B,,"clay, VFGR",saturated,"F/F, F/M","7.5 YR, 3/1",,
,E8S,6/6/2021,yellow p49,55,66,,,C,,"clay, VFGR",saturated,F/F,"10 YR, 5/3",,
,E8S,6/6/2021,yellow p49,66,80,,,C,,"sandy clay, XGR",saturated,VF/F,"10 YR, 5/3",,
,E8S,6/6/2021,yellow p49,80,90,,,C,,"sand, XGR",saturated,VF/F,"10 YR, 5/3",,
,E8S,6/6/2021,yellow p49,90,100,,,C,,"sandy clay, FGR",saturated,VF/VF,"10 YR, 4/3",,
,E8S,6/6/2021,yellow p49,100,115,,,C,,"sandy clay, VGR",saturated,,"7.5 YR, 4/3",,
,E8S,6/6/2021,yellow p49,115,121,,,,,"sand, XGR",saturated,,"7.5 YR, 4/6",,
,,,,,,,,,,,,,,,
